date,shibor_2w,涨跌,rsi_5,risk_on
2025-11-17,1.55,4.1,72.55110156529159,0
2025-11-18,1.55,0.0,72.55110156446672,0
2025-11-19,1.568,1.8,78.14252118850332,0
2025-11-20,1.546,-2.2,59.59560895914097,0
2025-11-21,1.522,-2.4,45.02350977593234,1
2025-11-24,1.542,2.0,56.18371490822996,0
2025-11-25,1.54,-0.2,54.79333677537993,0
2025-11-26,1.507,-3.3,36.2772052705136,1
2025-11-27,1.508,0.1,37.08256441434068,1
2025-11-28,1.529,2.1,52.75617735542814,0
2025-12-01,1.477,-5.2,29.787791609094427,1
2025-12-02,1.465,-1.2,26.464225935380256,1
2025-12-03,1.465,0.0,26.464225935072676,1
2025-12-04,1.479,1.4,38.89289163133072,1
2025-12-05,1.508,2.9,57.494513289993506,0
2025-12-08,1.517,0.9,61.98384585112945,0
2025-12-09,1.51,-0.7,56.21179941388794,0
2025-12-10,1.5,-1.0,48.19714843413626,1
2025-12-11,1.5,0.0,48.197148433277256,1
2025-12-12,1.509,0.9,56.84902433997508,0
2025-12-15,1.511,0.2,58.762177918626534,0
2025-12-16,1.51,-0.1,57.177771981197196,0
2025-12-17,1.471,-3.9,24.70471918181822,1
2025-12-18,1.582,11.1,75.07212308907657,0
2025-12-19,1.6078,2.58,79.12853057341202,0
2025-12-22,1.616,0.82,80.3959113096226,0
2025-12-23,1.577,-3.9,59.07093026425429,0
2025-12-24,1.599,2.2,65.51991195929371,0
2025-12-25,1.595,-0.4,63.254747592399,0
2025-12-26,1.596,0.1,63.64749272088727,0
2025-12-29,1.65,5.4,78.88276863184504,0
2025-12-30,1.869,21.9,93.24161183731891,0
2025-12-31,1.951,8.2,94.8731944575575,0
2026-01-04,1.518,-43.3,36.58125025353355,1
2026-01-05,1.457,-6.1,33.00968678742396,1
2026-01-06,1.465,0.8,34.06501106707316,1
2026-01-07,1.453,-1.2,33.087680422961554,1
2026-01-08,1.482,2.9,38.42433233282278,1
2026-01-09,1.487,0.5,39.46485700645694,1
2026-01-12,1.489,0.2,39.9720425006568,1
2026-01-13,1.534,4.5,51.41960075455871,0
2026-01-14,1.567,3.3,58.64835592617617,0
2026-01-15,1.555,-1.2,54.932898650256654,0
2026-01-16,1.496,-5.9,39.53863602338566,1
2026-01-19,1.501,0.5,41.281756624319684,1
2026-01-20,1.582,8.1,62.92604907999616,0
2026-01-21,1.597,1.5,65.84075569280391,0
2026-01-22,1.59,-0.7,62.95364363204941,0
2026-01-23,1.577,-1.3,57.13737516081862,0
2026-01-26,1.599,2.2,64.14488929899602,0
2026-01-27,1.599,0.0,64.14488929840016,0
2026-01-28,1.596,-0.3,61.98567784853003,0
2026-01-29,1.591,-0.5,57.92360716137406,0
2026-01-30,1.598,0.7,62.252549441967645,0
2026-02-02,1.509,-8.9,23.624327151289947,1
2026-02-03,1.511,0.2,24.932749907565196,1
2026-02-04,1.583,7.2,57.61099712926476,0
2026-02-05,1.614,3.1,65.65708261937078,0
2026-02-06,1.504,-11.0,35.64594047238853,1
2026-02-09,1.584,8.0,54.537308249965896,0
